domain,category
obozrevatel.com,news
oi.legal,news
openmedia.io,news
opposition-news.com,news
ovd.info,news
ovd.legal,news
ovd.news,news
ovdinfo.org,news
ozodi.org,news
pap.pl,news
paperpaper.io,news
paperpaper.ru,news
patriot.dp.ua,news
polit.ru,news
politico.eu,news
politiken.dk,news
portal.lviv.ua,news
posle.media,news
postimees.ee,news
pravda.com,news
pravda.com.ua,news
proekt.media,news
prosleduetmedia.com,news
provereno.media,news
r4.err.ee,news
radiosakharov.org,news
radiosvoboda.org,news
rbc.ua,news
realist.online,news
republic.ru,news
rezonans.media,news
rferl.org,news
rima.media,news
roar-review.com,news
root-nation.com,news
roskomsvoboda.org,news
rus.delfi.ee,news
rus.jauns.lv,news
sakhalin.info,news
sakharovfoundation.org,news
semnasem.org,news
severreal.org,news
sibreal.org,news
skat.media,news
slavicsac.com,news
sobesednik.com,news
sotaproject.com,news
spektr.press,news
spiegel.de,news
sputnikipogrom.com,news
strana.news,news
strana.today,news
suspilne.media,news
svidomi.in.ua,news
svoboda.org,news
svoi.kr.ua,news
svtv.org,news
t-invariant.org,news
tayga.info,news
telegraf.by,news
telegraf.news,news
telegraph.co.uk,news
the-village.ru,news
thebarentsobserver.com,news
thebell.io,news
theins.press,news
theins.ru,news
themoscowtimes.com,news
thetruestory.news,news
tvfreedom.io,news
tvrain.ru,news
tvrain.tv,news
ui.ill.in.ua,news
ukr.radio,news
ukrainer.net,news
ukrinform.net,news
unian.ua,news
usa.one,news
usatoday.com,news
verstka.media,news
vesma.one,news
vesma.today,news
vesty.co.il,news
voanews.com,news
vot-tak.tv,news
welt.de,news
wonderzine.com,news
yle.fi,news
zahav.ru,news
zaxid.net,news
zerkalo.io,news
zona.media,news
adultmult.tv,anime
amedia.site,anime
anilib.me,anime
anilibria.org,anime
anilibria.tv,anime
anilibria.uno,anime
anilibria.wtf,anime
animaunt.org,anime
anime-portal.su,anime
animebest.org,anime
animedia.tv,anime
animego.org,anime
animespirit.ru,anime
anistar.org,anime
anistars.ru,anime
bato.to,anime
danbooru.donmai.us,anime
delivery.2d.net.co,anime
dorama.live,anime
doramalive.ru,anime
doramy.club,anime
e621.net,anime
ficbook.net,anime
gelbooru.com,anime
jut-su.net,anime
jut.su,anime
kara.su,anime
kemono.su,anime
manga-chan.me,anime
mangadex.org,anime
mangahub.ru,anime
mangapark.net,anime
myanimelist.net,anime
mydoramy.club,anime
shikimori.me,anime
shikimori.one,anime
shiza-project.com,anime
slashlib.me,anime
sovetromantica.com,anime
vndb.org,anime
yande.re,anime
yummyani.me,anime
attachments.f95zone.to,adult
babepedia.com,adult
chaturbate.com,adult
coomer.su,adult
e-hentai.org,adult
eporner.com,adult
etahub.com,adult
fansly.com,adult
fapello.com,adult
freeones.com,adult
hentai-foundry.com,adult
hitomi.la,adult
hqporner.com,adult
idolcomplex.com,adult
manyvids.com,adult
mmcdn.com,adult
multporn.net,adult
nhentai.com,adult
nhentai.net,adult
nude-moon.org,adult
phncdn.com,adult
phncdn.com.sds.rncdn7.com,adult
playboy.com,adult
pornhub.com,adult
pornhub.org,adult
pornolab.net,adult
realbooru.com,adult
reddxxx.com,adult
redgifs.com,adult
rentry.org,adult
rule34.art,adult
rule34.us,adult
rule34.xxx,adult
sankakuapi.com,adult
sankakucomplex.com,adult
sankakustatic.com,adult
theporndude.com,adult
ukdevilz.com,adult
vipergirls.to,adult
xhamster.com,adult
xhamsterlive.com,adult
xhcdn.com,adult
xnxx-cdn.com,adult
xnxx-ru.com,adult
xnxx.com,adult
xnxx.net,adult
xnxx.tv,adult
xnxx3.com,adult
xv-ru.com,adult
xvideos-cdn.com,adult
xvideos.com,adult
.ua,blocked
10minutemail.com,blocked
1337x.to,blocked
4freerussia.org,blocked
4pna.com,blocked
5sim.net,blocked
7tv.app,blocked
7tv.io,blocked
abook-club.ru,blocked
academy.terrasoft.ua,blocked
adguard-vpn.com,blocked
adguard.com,blocked
adminforge.de,blocked
ahrefs.com,blocked
allegro.pl,blocked
amdm.ru,blocked
amnezia.org,blocked
amx.com,blocked
anidub.com,blocked
annas-archive.org,blocked
any.do,blocked
aol.com,blocked
api.service-kp.com,blocked
apkmirror.com,blocked
archive.ph,blocked
archiveofourown.org,blocked
as6723.net,blocked
atv4.dnskp.cc,blocked
audiobookbay.lu,blocked
avira.com,blocked
babook.org,blocked
baginya.org,blocked
bcbits.com,blocked
bestchange.ru,blocked
bluehost.com,blocked
booktracker.org,blocked
boominfo.org,blocked
booth.pm,blocked
booth.pximg.net,blocked
botnadzor.org,blocked
bt4gprx.com,blocked
btdig.com,blocked
bufferbloat.net,blocked
carnegieendowment.org,blocked
cbilling.eu,blocked
cbilling.vip,blocked
cdnbunny.org,blocked
censortracker.org,blocked
charhub.io,blocked
chess.com,blocked
chesscomfiles.com,blocked
chub.ai,blocked
cloudtorrents.com,blocked
cnd2exp.online,blocked
cock.li,blocked
codelinaro.org,blocked
coinpayments.net,blocked
coinsbee.com,blocked
coldfilm.city,blocked
coldfilm.ink,blocked
coldfilm.xyz,blocked
coursera.org,blocked
croxyproxy.com,blocked
cub.red,blocked
cursor-cdn.com,blocked
cursor.sh,blocked
cursorapi.com,blocked
cyberghostvpn.com,blocked
deckbrew.xyz,blocked
decrypt.day,blocked
deepstatemap.live,blocked
depositphotos.com,blocked
designify.com,blocked
deviantart.com,blocked
digash.live,blocked
digikey.com,blocked
dpidetector.org,blocked
dreamhost.com,blocked
dub.sh,blocked
edu-cisco.org,blocked
ef.com,blocked
ef.edu,blocked
eggertspiele.de,blocked
element14.com,blocked
elements.envato.com,blocked
epidemz.net.co,blocked
everand.com,blocked
exler.es,blocked
f95-zone.to,blocked
fast-torrent.club,blocked
fastpic.org,blocked
filmitorrent.net,blocked
filmix.ac,blocked
filmix.biz,blocked
filmix.day,blocked
filmix.fan,blocked
filmix.fm,blocked
filmix.la,blocked
flibusta.is,blocked
flibusta.net,blocked
flipboard.com,blocked
flisland.net,blocked
fls.guru,blocked
forklog.com,blocked
forum.ru-board.com,blocked
framer.app,blocked
framercanvas.com,blocked
framercdn.com,blocked
framerstatic.com,blocked
framerusercontent.com,blocked
freedomletters.org,blocked
gagadget.com,blocked
gamedistribution.com,blocked
gamesrepack.com,blocked
getoutline.org,blocked
gifyu.com,blocked
git.new,blocked
godaddy.com,blocked
gofile.io,blocked
gonitro.com,blocked
goodreads.com,blocked
gr-assets.com,blocked
hackernoon.com,blocked
hackmd.io,blocked
halooglasi.com,blocked
hdkinoteatr.com,blocked
hdstudio.org,blocked
hostgator.com,blocked
iditelesombase.org,blocked
iedb.org,blocked
ign.com,blocked
iichan.hk,blocked
ilook.tv,blocked
incy.cc,blocked
indiehackers.com,blocked
infineon.com,blocked
insearch.site,blocked
interactivebrokers.co.uk,blocked
ionos.com,blocked
iptv.online,blocked
itch.io,blocked
jetbrains.team,blocked
jw-russia.org,blocked
jw.org,blocked
kamatera.com,blocked
kilo.ai,blocked
kilocode.ai,blocked
kino.pub,blocked
kinogo.ec,blocked
kinogo.uk,blocked
kinopub.me,blocked
kinovod.net,blocked
kinozal.guru,blocked
kinozal.me,blocked
kinozal.tv,blocked
kinozaltv.life,blocked
knews.kg,blocked
knowyourmeme.com,blocked
kupujemprodajem.com,blocked
kym-cdn.com,blocked
lantern.io,blocked
le-production.tv,blocked
leafletjs.com,blocked
lib.rus.ec,blocked
libgen.li,blocked
licdn.com,blocked
linear.app,blocked
lingq.com,blocked
linkedin.com,blocked
linktr.ee,blocked
livetv.sx,blocked
liveuamap.com,blocked
lolz.guru,blocked
lostfilm.download,blocked
lostfilm.tv,blocked
lostfilm.tw,blocked
lostfilm.uno,blocked
lostfilmtv2.site,blocked
lu4.org,blocked
lucid.app,blocked
magaz.global,blocked
mail-api.proton.me,blocked
mailfence.com,blocked
mailo.com,blocked
make.com,blocked
malwarebytes.com,blocked
mashable.com,blocked
medium.com,blocked
mega.nz,blocked
megapeer.ru,blocked
megapeer.vip,blocked
metacritic.com,blocked
metal-archives.com,blocked
modrinth.com,blocked
monolisa.dev,blocked
more.fm,blocked
mullvad.net,blocked
musicbrainz.org,blocked
musixmatch.com,blocked
mw2.wiki,blocked
navalny.com,blocked
neformat.com.ua,blocked
networksolutions.com,blocked
nhl.com,blocked
nih.gov,blocked
nippon.com,blocked
nnmclub.to,blocked
nnmstatic.win,blocked
notepad-plus-plus.org,blocked
novaline.fm,blocked
ntc.party,blocked
ohmyswift.ru,blocked
okx.com,blocked
olx.ua,blocked
omv-extras.org,blocked
onlinesim.io,blocked
opensanctions.org,blocked
opensea.io,blocked
opentrackr.org,blocked
pages.dev,blocked
patreon.com,blocked
patreonusercontent.com,blocked
paywithmoon.com,blocked
pb.wtf,blocked
pimpletv.ru,blocked
piratbit.top,blocked
pixabay.com,blocked
pixiv.net,blocked
polymarket.com,blocked
primevue.org,blocked
privatekeys.pw,blocked
prnt.sc,blocked
pronouns.page,blocked
prostovpn.org,blocked
proton.me,blocked
protonvpn.com,blocked
psiphon.ca,blocked
pvpessence.com,blocked
qobuz.com,blocked
quora.com,blocked
quora.com.cdn.cloudflare.net,blocked
radiojar.com,blocked
redshieldvpn.com,blocked
refactoring.guru,blocked
render-state.to,blocked
rentry.co,blocked
restream.io,blocked
rf.dobrochan.net,blocked
riperam.org,blocked
riseup.net,blocked
rublacklist.net,blocked
ruscryde.net,blocked
rustorka.com,blocked
rutor.info,blocked
rutor.is,blocked
rutor.org,blocked
rutracker.cc,blocked
rutracker.net,blocked
rutracker.org,blocked
rutracker.wiki,blocked
sap.com,blocked
saverudata.net,blocked
sci-hub.se,blocked
sci-hub.st,blocked
scrollrevealjs.org,blocked
scryde.io,blocked
scryde.net,blocked
scryde.ru,blocked
scryde.world,blocked
scryde1.net,blocked
scryde10.net,blocked
scryde11.net,blocked
scryde12.net,blocked
scryde2.net,blocked
scryde3.net,blocked
scryde4.net,blocked
scryde5.net,blocked
scryde6.net,blocked
scryde7.net,blocked
scryde8.net,blocked
scryde9.net,blocked
searchfloor.org,blocked
seasonvar.ru,blocked
selezen.org,blocked
sharefile.com,blocked
sharefile.io,blocked
showip.net,blocked
signal.org,blocked
sigsauer.com,blocked
simplex.chat,blocked
simplex.im,blocked
simplix.info,blocked
skiff.com,blocked
skladchik.com,blocked
sklatchiki.ru,blocked
slifki.biz,blocked
sms-activate.io,blocked
sndcdn.com,blocked
sophos.com,blocked
soundcloud.cloud,blocked
soundcloud.com,blocked
speedtest.net,blocked
spreadthesign.com,blocked
squietpc.com,blocked
startmail.com,blocked
startpage.com,blocked
static.lostfilm.top,blocked
statology.org,blocked
steamstat.info,blocked
supersliv.biz,blocked
surfshark.com,blocked
swissinfo.ch,blocked
switchroot.org,blocked
syslog-ng.com,blocked
te-st.org,blocked
temu.com,blocked
thepiratebay.org,blocked
thetvdb.com,blocked
threema.ch,blocked
tiptop-vpn.com,blocked
torproject.org,blocked
torrentgalaxy.to,blocked
trellix.com,blocked
trueblackmetalradio.com,blocked
turbobit.net,blocked
tuta.com,blocked
tuta.io,blocked
tvdevinfo.com,blocked
twin.me,blocked
twinlife-systems.com,blocked
twinme.com,blocked
twirpx.com,blocked
ukr.net,blocked
ukrtelcdn.net,blocked
unsplash.com,blocked
urlr.me,blocked
viber.com,blocked
vice.com,blocked
visualcapitalist.com,blocked
vpngate.net,blocked
vpngen.org,blocked
vpnlove.me,blocked
vpnpay.io,blocked
wdfiles.com,blocked
webmd.com,blocked
webtoons.com,blocked
wiki.fextralife.com,blocked
wilsoncenter.org,blocked
windows10spotlight.com,blocked
zbigz.com,blocked
zendesk.com,blocked
gbatemp.net,blocked
procustodibus.com,blocked
zerossl.com,blocked
sephora.fr,ru-ip-blocked
demdex.net,hodca
cnstrc.com,ru-ip-blocked
techlab-cdn.com,hodca
adobedtm.com,hodca
go-mpulse.net,hodca
forter.com,ru-ip-blocked
hosthatch.com,blocked
1018213540.rsc.cdn77.org,russia-outside
alfabank.ru,russia-outside
avtodor-tr.ru,russia-outside
b2c-ticket-sentry.onelya.ru,russia-outside
bitrix.info,russia-outside
bkvet.ru,russia-outside
cdn1.ozonusercontent.com,russia-outside
cms1.dzvr.ru,russia-outside
counter.yadro.ru,russia-outside
dzvr.ru,russia-outside
emex.ru,russia-outside
fairplay-proxy.ott.yandex.ru,russia-outside
fssp.gov.ru,russia-outside
gorzdrav.spb.ru,russia-outside
gosuslugi.ru,russia-outside
gov.ru,russia-outside
graphql.kinopoisk.ru,russia-outside
gu-st.ru,russia-outside
lemanapro.ru,russia-outside
leroymerlin.ru,russia-outside
mobileapp.russianpost.ru,russia-outside
mos.ru,russia-outside
mosenergosbyt.ru,russia-outside
mosreg.ru,russia-outside
nalog.ru,russia-outside
ozon.ru,russia-outside
pesc.ru,russia-outside
pochta.ru,russia-outside
reso.ru,russia-outside
rosreestr.gov.ru,russia-outside
rzd-bonus.ru,russia-outside
rzd.ru,russia-outside
sberbank.ru,russia-outside
showip.net,russia-outside
sys.refocus.ru,russia-outside
tbank.ru,russia-outside
vshark.ttk.ru,russia-outside
vtb.ru,russia-outside
widevine-proxy.ott.yandex.ru,russia-outside
xn--90aijkdmaud0d.xn--p1ai,russia-outside
yandex.net,russia-outside
